,topic,document
9974,2,Great keyboard. Highly recommend.
9975,2,My granddaughter loves this keyboard. She’s 12 and isn’t a gamer so it’s perfect for her.
9976,2,This product offers soft touch keys. Which is something I look for in a keyboard. I don't want it to sound like I am using a typewriter when I am on the computer.
9977,20,Wish it notified you of low power/battery.  Instead it just dies with no warning.
9978,2,This keyboard works great for my needs.  Good battery life and goes to sleep right away.  Even types the first key when you wake it up.  I do not game thats why I only gave it a three.
9979,2,Great product. Great customer service. Great battery life. It's a cool and amazing keyboard
9980,1,Works great for gaming in low light.
9981,0,This was a gift for my daughter. She loves it but she doesn't really use it for gaming.
9982,7,Redddr
9983,8,Got itand time and my grandson loves it
9984,2,"This keyboard is so awesome, I will buy another when necessary. We have a projector connected to our computer and this keyboard helps when trying to watch movies in the dark."
9985,2,"Wanted a keyboard with a backlit I could use at night when doing work. Got it at the end of November 2019 and as of January 10, 20 it no longer works.  Wouldn't buy it again. Waste of $30.00."
9986,-1,"My son LOVES THIS. HE was so happy Christmas morning. Works great , worth the money , recommend buying it."
9987,3,Easy to install and use.
9988,0,"Got this gift for my husband, cause I was tired of tripping over the cords. I personally love the fact I don't have to trip, and hubby is happy as well."
9989,11,For some reason I thought this took batteries but it doesnt. It has an on board battery that takes USB-c to charge. No big deal I have a note 9 and keep a charger at my desk. I got it because its waterproof and I work in a bar. Accidents happen. Haven't used that feature yet but I'll update if I do. Battery life is good. Lights look cool but you can turn them off if you want. I'd buy again.
9990,0,My son loves it! Hooked up to Xbox easily. Works great!
9991,2,"I like. It good. It shine.Keyboard functions reliably and has a long battery life. I like that it auto sleeps to save on battery. It's especially beautiful too. There is some latency, but it's not noticeable when playing games like The Sims 4 or Planet Zoo."
9992,2,The keyboard looks and works great.
9993,2,This keyboard is deceptive! It's really pretty and feels good to use but in about 3 months of use it started having response issues. I use it for gaming and it would randomly stop responding or lag for a few seconds to minutes before recovering. It does this regardless of charger status and even when plugged in. I used it directly next to the receiver and on different machines so it isn't the Bluetooth on my end or distance affecting it. I think either the keys lose responsivity or the Bluetooth signal is losing connection.
9994,2,"I love the back lighting,rechargeable battery and light. I personally only sit at a desk when playing games.I mostly like wireless so i don't have to sit at a flat surface for the keyboard use. I like to sit back from my computer on 42 inch monitor TV for emails,you tube videos and browsing the internet while holding the keyboard only when changing websites. Your design makes that harder to pick up or hold with the left hand and typing with the right.The keys go to the very edge of the unit only the bottom and right top corner have a spot to use a thumb to hold without touching a key a little more area on right side would be ideal for many users comfort when holding the board especially near the Esc key,an another model perhaps flared out going to the top.."
9995,3,So far my husband is loving it. I would prefer a non colored mode.
9996,25,Works great
9997,2,"This is the best wireless keyboard I’ve ever bought. I know ppl complain about slow response of the keyboard, but if you change the settings for it, you’ll get better results!!! My boys play games on my laptop and this keyboard responds quickly to all the commands required to play the games!!!Amazing keyboard for an affordable price! Love the colors!!! Love the fact you can change the intensity of the glow!!"
9998,0,It's not mine but my son got it for Christmas and he really likes it over the xbox controller.
9999,2,"I have been using this keyboard for about 3 or 4 days now and so far it works really well for it's intended purpose. I love the way that the keys feel and that the lights look when I am typing. That being said, there are a few things that knocked this keyboard down to only 4 stars. The first is that while the keyboard is advertised as being silent, this is not the case. In fact, I have found that some of the keys that are more commonly used such as the ENTER key or the spacebar are actually louder than the rest of the keys. For me this hasn't been a huge deal, but I can see how people would be upset if they bought it with the intention of having a quiet keyboard. The second thing is that the LED lights are not as bright as I would have wanted. In the dark, they stand out perfectly and look amazing. However, in daytime or brighter lighting, the lights are hard to see and draw away from the overall aesthetic of the keyboard."
10000,0,It’s fast and comfortable to use
10001,2,Battery life is great great beginner keyboard
10002,2,Nice keyboard at this price just make sure your computer is Bluetooth compatible for wireless operation.
10003,3,Easy to use.  Great to go wireless.
10004,2,I have been using this keyboard for almost 2 and a half months and at first I issues with finding the on/off switch for turning on wireless and had to have both plugged into my computer for wireless and charging. After I found the switch on the back it made everything easier and more convenient. I would recommend this to anyone looking for a good wireless keyboard with a long battery life.
10005,2,"2 big design problems: 1) the lights don't stay on, probably to conserve the battery. This means if you are not using the keyboard for a few seconds, say you are just using the mouse, or just reading the screen, the keys go dark. Then you can't see whatever key you need to hit first when you are ready. 2) The Enter key is one key farther to the right than a standard keyboard. As a life-long touch-typist, I now am tying ""\"" when I mean to hit enter. So not only did I not gain the ability to see the keys in the dark, but I lost the expected location of the enter key.Just a couple of points of clarification: 1) you cannot change the colors. You can just adjust the brightness of the backlighting, and you can put it on some weird ""breath"" setting where it slowly goes brigher and darker. 2) This does not take ""batteries"" like most wireless keyboards. It actually requires a wire to charge the built-in battery, which is billed as taking 4 hours to charge for 17 hours of usage. Might as well leave it connected. So much for ""wireless""."
10006,-1,"Grandson loves it, it is awesome love the colors , not to bright."
10007,-1,Works great. Great value for the money.
10008,-1,"I got this as a gift for my husband for Christmas and couldn't be happier for $30. This has a good set of lights and it comes with a built in battery that charges via usb. My husband loves it and at $30, it was a steal and I'm a customer for life now. The only minor thing about this is that it sleeps a little too fast, but any key waking it up, makes that almost null."
10009,2,"This was purchased for a PC that occasionally gets used for gaming but nothing intensive.  On the like side is the backlit keys which are multi colored and bright and readable when all other lights are out in the room.  Something I have struggled to find in other purchased keyboards.  Second is the sleep mode which immediately responds when a key is depressed bringing the keyboard back to life and recording the initial keystroke to the screen.  I have a Mid-high Corsair that cannot do that at 4 times the price tag.  And battery life is way longer than the more expensive Corsair.  My only dislike is the change the manufacturer made in the ENTER/RETURN key.  All of my other keyboards without exception have a horizontal return key.  This one has moved the  key with the forward slash mark ( \ ) to the row next to the quotation marks key allowing the return key to be vertical rather than horizontal.  For a touch key typist, this creates a problem since the pinky finger now has an additional full key width space to cross to get the return key it did not have with other keyboards.  For gamers this is an acceptable, inexpensive keyboard and well worth the money.  For a touch typist, you might want to pick something else as the change in the return key is very frustrating.  This is an update from original initial review. Device did not last a year and stopped working altogether. As did the expensive corsair.  I have gone back to a good WIRED keyboard."
10010,7,Where’s the ‘V’??????
10011,7,It was pretty good
10012,2,"When buying gaming gear, you got to look at the price. For this pricepoint, this keyboard is easily 5 stars. Responsive, great for typing, battery lasts for days. Gaming on a budget? Definitely worth it.Only con is the layout of the enter key but once you get used to it it's fine."
10013,2,There is a delay when typing.
10014,2,"Great keyboard for the price. Really like the feel of the keys. Not used to the enter key yet having a notch out where the \ key is, but not a big deal. Also wish it had dedicated volume keys as well as opposed to pressing the FN key first."
10015,0,"It's very light, very quiet. Installed right away. Works perfect on Win7 64. Lights are bright enough but not too bright. Looks and works exactly as described."
10016,10,Love the cordlessmess!! Best I've seen! Thanks
10017,2,This is an absolutely awesome keyboard! It's wireless and doesn't run on batteries and is chargeable through USBC. Hubby is using it for PS4 gaming if that helps anyone. 😀👍
10018,3,11100101
10019,2,"Pretty colors, but some of the keys are off and in a weird location. Kept hitting the wrong key. Returned right away."
10020,2,"I was getting sick of my clickity clackity keyboard so I went with this. I don't game a lot on it but haven't noticed any input delay while playing FPS. My only gripe is the sleep mode is annoying because you can't see the keyboard at all when it turns off. I'm sure you can change it up just haven't bothered looking into it yet. Lightweight and sleek, a keeper for sure."
10021,-1,I thought it was battery operated but I didn't read the description well enough. It lasts about 3 days between charges.  At least I can see the keyboard without the lights on. I'm happy with it.
10022,2,"Really don’t care for this product. It seems to constantly be acting up. For example, I was just trying to type an address and all my numbers appeared as if I had been holding the shift key (#%^*)."
10023,2,Great keyboard very responsive keys
10024,2,"If you're a touch typist, expect to be slowed down and make a lot of mistakes, because the Enter key is much further to the right than any other keyboard I've ever used.  Because of this, this keyboard is very uncomfortable to use.The keys resist a bit, but bounce back slowly.  It's very easy for a fast typist to get letters out of order, because they keyboard just isn't responsive enough.I don't see how anyone would accept this as a gaming keyboard."
10025,2,Solid wireless keyboard and the best bang for your buck. Very mobile and responsive. Crispy-boy spill-proof.
10026,-1,Its a great item except battery doesn’t last too long
10027,2,I’ve used it for about a week. Everything was good but the Bluetooth connections keep going on and off. Very annoying...[update]Feb. 19the keyboard is completely dead now.no connection at all and no light at all.no customer service.
10028,2,"I bought this to replace my regular keyboard with no backlit.  This works well.  The only problem is the charging cable is too short.  I will need to use another cable.  Otherwise, it does what it's supposed to."
10029,7,Eyvr oogd
10030,2,Very nice keyboard for the price. I like the angle it’s not to steep so you it’s comfortable on your wrist for extended typing. The keys have a nice feel to them as you type.The backlights help while typing in the evening.It’s a pretty nice keyboard for maybe someone starting to build a gaming PC setup.At the current price I think you get good value.The charging cable could be a bit longer but the battery has lasted a good amount of time so I haven’t had the need to charge it too often yet.
10031,-1,Love it! As expected.
10032,-1,Great product
10033,3,very nice colors.beautiful and quality
10034,-1,"So far so good. Was suppose to be a Christmas present for my son, however it came boxed with a 40 lb bag of dog food and keyboard box was smashed. Also, the seal was cut open, so I had to have my son make sure everything worked. Not much of a present surprise, but at least it works, so far."
10035,-1,Good product
10036,-1,"This is a great product for a cheap price.It is light weight. The rechargeable battery keeps a charge very well, only have to charge it a couple times a week and you can use it while it is charging.I sit about 8 feet away from my PC tower or Xbox and I have no issues with it not responding.This is also a very nice looking product and looks exactly how the picture shows.I will buy this product in the future if I need another one.This also works for my Xbox One X which is awesome."
10037,2,"I love these keyboard, everything about it except the ""Enter"" and ""|\"" keys.The layout is different from any of the previous keyboards I've owned and the one that's on my laptop.If I don't get used to the layout in due time, I'll be returning it. It's pretty dumb."
10038,2,"Overall, this keyboard is good. Connects fine, lighting is pretty cool, keys are comfortable. Very very light and doesn't take up too much space on the desk. However, it doesn't remain charged at all. Even after left plugged in overnight, the keyboard dies after being unplugged. It still works okay, but the battery life is extremely disappointing."
10039,26,Love it
10040,2,"The KLIM is extremely quiet which is the number one thing that is important to me. Battery life is great, plus it is rechargeable. My only complaint is the connection. I would rate it about 4/5 due to it sometimes randomly losing connection. After two months my S key is starting to rub off. Back light to the keyboard is perfect in my opinion. Price for the keyboard is really good. Think this keyboard will last about a year for me. Overall great keyboard I love it."
10041,2,"Well, I am not a gamer but I am a coder and I was looking for a good keyboard. I tried variety of them but this one is the best. Its ideal for typing and the light does not pinch you eyes in the dark.It has the option to adjust the brightness level and you change the colors according to your need.All in all I love it and would recommend it."
10042,2,It already does not work.Had to buy another keyboard.Color not very bright..
10043,2,"Less than 2 months after receiving my keyboard, it stopped working. The on-off switch on the back of the keyboard seems to have something to do with the problem. The keyboard stopped working a couple of weeks after the 'return window' closed, so I was referred to KLIM directly. Long story short, KLIM never resolved the issue, despite the fact that this product has a warranty. I sent about 4 emails before giving up. I would definitely not recommend the product. When I purchased the keyboard, I was excited about the features described, but if the product doesn't function, then those features are useless. Note: I didn't have any problems with the Amazon seller."
10044,2,"I liked the feel and positive sensitivity of the keys, unfortunately it just wasn't bright enough for me to see the lettering."
10045,-1,Looks good so far
10046,3,I absolutely love it because it’s so beautiful! Thank you for the fast shipping!
10047,2,Love the feel of the keys and the keyboard is light without feeling cheap. And the backlight is great and even better that you can change the brightness so it is great to use at night.
10048,2,"I don't use this keyboard for game, but I type a lot, I like it being very quiet when I type and the LED light is pretty when it's on. I bought one of this keyboard couple months ago for work, I like it so much, then I bought another one for my home computer. Not expensive but good quality product."
10049,2,Excellent purchase...provides great back lighting for typing in low or no light situations. Great feel to the keys and excellent range. I have been using for 10 days now on the initial charge and am very happy with the power capacity so far. Highly recommend.
10050,2,"LoveD this keyboard and it had  been working great until last week. Numerous keys stopped working . I have done everything I can think of to fix it, but nothing works? Too bad because this was a nice keyboard."
10051,0,This works great and is very quiet. I also like the lighting options.
10052,2,"I'm not a gamer,.. but i love this keyboard.. in fact it's so nice I bought a 2nd one for work..very cool looking and key strokes feel very comfortable.. highly recommended !"
10053,2,"Enter key was difficult to reach, I'm going off size, bit of a stretch."
10054,2,The keyboard works as it should for a regular keyboard - maybe I’m just picky for gaming items - they need to be quick and smooth. This is not; it works well for regular typing
10055,0,"I had high hopes for this, but unfortunently out of the box is disconnects constantly, which makes it unusable for gaming. it happens both unplugged and plugged in, very disappointing poorly made product."
10056,2,I really like this wireless light up keyboard I have been searching for 1 for awhile and I'm glad I decided on this 1.
10057,0,Gaming
10058,3,Love it. Use it for work in darker room.
10059,2,"Update: reorganized the living room and it seems that the wireless signal improved a lot. Corners seem problematic for the dongle.With a good direct line of sight it works well.-I really like the look and the fact that the enter key is large (ISO layout) the key between Z and left shift is missing tho. Not sure whether it should be there anyway.Packing is nice and adds emotional value :) . The USB charging cable is a little too short.The bad news is, if it is not close enough to the dongle it fails a lot.After it goes to sleep it sometimes wakes up unresponsive, you get key double presses and lost keystrokes randomly. Copying pasting and cutting can be a chore because you don't know if the keyboard sent the Ctrl+x or Ctrl+v appropriately.If you figure out how to keep a steady 2.4g link between the keyboard and transmitter you're all good.I wish there was a way to know how much battery is left.If you're ok spending more on a keyboard, go for the pro stuff. If you're on a budget it's a good pick.P.s. Dear Klim guys, I like you. Try improving connectivity for solid reliable wireless performance and showing battery usage"
10060,13,works wonderful!
10061,2,"Everything is good but the keys would look better with light color light. It means, on the left side, blue & purple mixes up with black color of the keyboard & makes the contrast less appealing. It works great on the right side though with green & light blue. There is no yellow though. That would be better."
10062,2,"Love it!!! Makes work so much easier, the key board is flawless! Super happy but do wish there would be a way to make the back lot brighter."
10063,-1,"Works great, It's not very sturdy or high quality but you get what you pay for, Also within a minute  (not sure how much time exactly) the lights won't stay on, it'll dim on you which i don't like. You can change the settings  to have slow blink or solid blink but it will turn dark after so many seconds which i'm not a big fan of."
10064,2,"For the price maybe is an option, but first i received a keyboard broken, i send it back and they sent me a replacement, but after 1 week of use this bs stopped working, so bad quality material too,I just bought a 80 dollar keyboard, cheap sh*t like this just will last for 1 month or less."
10065,6,Cant believe the quality for the price! I highly recommend this to anyone building either a new office set up or gaming set up.
10066,2,I love this keyboard! I work in a large office from 8-5 typing all day so I needed something comfortable and quiet. This has been working perfect for me and would defiantly recommend!
10067,2,The keys would do the wrong function and it was missing several options.
10068,2,Got my computer hooked up to the tv so its nice to have this on the nightstand and it light up at night.
10069,2,"I'm updating this review. I received a keyboard that stopped charging a month after I bought it. I contacted the company, and their customer service was amazing and they sent me a new one quickly.  So far my new one works great, which I'm so happy about because I really enjoy this keyboard."
10070,3,"Nice, light, cool. Not brightness expected but decent price, 4/5 stars"
10071,0,Very silent
10072,2,Great little board but they need to alter the LED Settings. Mainly the thing needs to not fall asleep on me in the dark cuz its getting old.
10073,2,"Haven't even used it yet...and won't.  Keys are all very loose and extremely cheap feeling, but for the price it was kind of expected.  The most disappointing thing about the purchase is the way it was shipped.  I ordered multiple products including a few heavy tv mounts which were, of course, on top of the keyboard and my led lights.  UPS was upset about the weight of the box and told me not to ship heavy items because they will be broken when they arrive.  If you must order this keyboard make sure you don't order anything else at the same time."
10074,3,"Easy to use. Wonderful look and feel. I feel that it could be a bit brighter. The company answered and solved my problem with in an hour. The problem was my mistake but, they helped me out anyways."
10075,3,Works great and connects instantly. I wish the lights were a bit brighter and had an option to let them stay on. They turn off after 1 minute or so. I've had this for 3 months now and some of the buttons stopped working. Maybe I have a faulty one. But prior to this it was doing it's job. Great for price but it is cheap.
10076,2,"I was kinda disappointed with this keyboard. On one hand, it's a great and affordable wireless keypad. It feels a bit cheap but it serves its purpose. I thought it was ""backlit"" but it's not really, hence the 4 star review. Not sure if it's me or the description of the product but I was really disappointed in this regard. Overall though, it's a good little wireless keyboard. Not great if what you're looking for is a keyboard to use in dim lighting though. Even on the best setting, it seems to go dim over a very short period of time."
10077,2,A little disappointed with the brightness and the fact that it sleeps immediately after use
10078,2,"This is really good bang for your buck, you are getting what your paying for then more. The keys are a little ristricting for complex games (crafting, survival, inventory, management) but for FPS and others it is really great. Even with those more complex games it works. When I use it and hour or two a day, it last for about 5 days, I don't even turn the power switch off, it sleeps really efficiently. Over all a well rounded keyboard."
10079,2,Awesome for many reasons! backlit for dark living room at night!! no batteries (rechargable!!!) and comfortable keys. 5 stars!!!
10080,2,I love the feel and look of this keyboard but it randomly stops working and the key strokes aren't transferred to the computer. very frustrating.
10081,2,It’s just an all around good keyboard.I’m not computer whiz but everything I need is easily found. I like the background lighting which makes finding keys like “Volume Up” easy to do in the dark.
10082,0,"I ha giving reveiws, bu errible producfor gaming mulible kes ha nvr worked. ried o ignor, bu from m msg u can see alo of kes don work. his looks lijke gibbersih because i doesn work"
10083,2,I had issue with the keyboard but received the replacement so fast with quick response. Really good quality for this price so you can have better keyboard with higher pricing but may not satisfy your pricing range.
10084,2,I love that its wireless and it has backlight so I can use it at  night without turning on a light.
10085,2,Great keyboard.  Works as advertised.
10086,2,"this keyboard is ass, dont buy it please. So many typos from bad connectivity, less than a month in and it cant even hold a charge now. Complete waste of money. If we humor it not breaking so quickly, the auto off feature of 30 seconds of inactivity i horrible and cant be disabled. This is a bad product in a LOT of ways"
10087,2,Amazing keyboard
10088,17,I like itū
10089,2,"I really wanted to like this keyboard. I still do sort of LOL The thin form factor, lighting and silent keys are really great. I loved typing on it. However, after about 1 week of light use, and 3 weeks of moderate use for work, I had to stop using it.It would miss key strokes, double them up or triple them, keys would lag behind. It was agonizing to use. The battery seemed ok. Was going to buy the wired version but I think I'll just move on."
10090,2,Great keyboard. The lights are bright and change colors. The keys are raised and nit flat which the I didn't see in the description that they were. But its still awesome. Installed right away wireless no issues. Would buy again
10091,3,BASICMISLEADING.  Nothing special.  ...  random USish logo  ...Offensive marketing per far too often.........
10092,2,Very light and sturdy keyboard that has some cool rainbow key lights. The lights do this cool fade in and fade out effect.
10093,2,I like the design of this keyboard. The only question i have is why do I have to keep it plugged in to keep it charged?
10094,2,"Ok so I gave a 1-star for gaming because I do not know if this is a good keyboard for gaming. I just use it as a regular keyboard for my Mac Book Pro. My friend has one he uses for gaming and loves it. The reason why I bought this for regular usage was because I went to my friends room to print out some documents and used this keyboard. It felt great, looked cool and was super comfortable to use.. Plus I liked the backlit lights of course. So.. This is my reasoning for buying it and it did not disappoint. I have used it for a few weeks now, love it and will stick to this brand and style of keyboard from now on."
10095,2,This keyboard is great! I'd you want a wireless keyboard ranging from gaming to office work this is the one for you.The only downside I can think of is it's not bluetooth but other than that ita fantastic!!Now stop thinking about getting it and just get it.
10096,2,"I bought this keyboard so I could see the keys as I write in the evening and at night. This lightweight, soft keys, keyboard has great backlighting with multiple colors that flash the light gently in the background as you type.  When the keys are not in use, the backlighting turns black (off), therefore, sparing the user the time it would need to charge it. There is also an on/off button that is optional, as well.  I am able to use this keyboard swiftly, and quietly with no problem."
10097,6,Decent Product and great value for the price. Sightly recommend.
10098,-1,Amazing product at a reasonable price. I would recommend. 10/10
10099,3,"lightweight, easy to hook up, and being able to adjust the backlight makes it perfect for me."
10100,2,Good value for a wireless keyboard
10101,25,Works great
10102,2,"I wish the wireless keyboards lights could stay on at all times and that the lights could be customized, but other than that I'm very pleased."
10103,2,I actually use this at work and the keyboard dims and brightens which is a little odd but not a deal breaker. Excellent little keyboard and fast shipping
10104,2,"For me this keyboard is perfect.  I am not a hardcore gamer so those that are mihht have a different opinion but for the gaming i do it works amazingly.  The keyboard charge lasts a long time. The lighting is good, not to bright but lights up all the keys beautifully. Love the keyboard!"
10105,7,Taiwan #1
10106,2,"Love this keyboard. Bought it to use with my PS4 and it works great. The colors are great, and I like that it shuts itself off to conserve battery. Would definitely recommend."
10107,6,"nice quality, feel great under my fingers but brightnes not the best"
10108,-1,Work great. Worth every penny
10109,14,meh it was ok it broke when I threw it
10110,11,"I bought this for a gift. When I looked at it, I decided to buy one for myself. I love that it is rechargable and a USB cable is included. Great tech style."
10111,2,"It's an excellent keyboard, the keys have a great texture with very sense of comfort. The layout is EU (enter key) so you'll uncomfortable until you get used it for a while, especially if you are using USA layout keyboard during the day."
10112,2,"I love this keyboard. The keys are super quiet and it’s comfortable to type on. It’s great having the colors as opposed to a simple white backlight. I only have two issues. First, I do with the colors were a tad bit brighter. Second, I would like a way, say a downloadable software, to control the brightness as well as how fast the colors fade, or not at all even, and lastly how long before sleep mode kicks in. For the price though you definitely can’t complain, and frankly I feel my issues are very minor."
10113,2,"Horrible. The first keyboard that I got had a dysfunctional key. They did do a good job of replacing it. However, the battery ran out and then the charger didn't work. As it happened, UPS didn't do a good job of picking up the old keyboard so I still had that charger. Neither charger worked. Awful. So much for their QA process that the company speaks so highly of."
10114,2,Great Keyboard and works great
10115,2,Horrible. Bought key board and within 24 hours it stopped working. Amazon was great and replaced the keyboard. The replacement’s lights do not work!
10116,2,Although they have a different version of their keyboard where you can change the lighting scheme I would have love to purchase this one with the ability to do that as well as offering it with a mouse combo.
10117,22,On time delivery and nice quality
10118,2,"The keyboard itself as a keyboard works fine.  However there are a few things that need improvement.1. The backlight needs to be brighter and the individual keys need to stay lite up even when the backlight fades out.2. Need to give the user the option to select to keep the back light on constantly instead of just fading or off.  I'm a user that likes the back light to stay on, I'm not a fan of the fading in/out as it makes it hard to see the keys in the dark especially if trying to find numbers and symbols.3. The Enter key is too far to the right for a comfortable typing selection.  Meaning, that the Enter key should be where the \ key is.  Normal U.S. keyboards have the Enter key closer in this position so when typing we easily select the right key but you have the \ key where the Enter key should be so it interferes and causes us to hit the wrong key.4. The keyboard isn't that quiet, hitting the keys when typing softly the keys still make a lot of noise."
10119,2,"It's an OK product for the most part. There are a few things that I noticed that lead me to give this product only 3 stars.1. The sleep time on the led feature is too short and not adjustable. It turns off the led lights after about 20-30 seconds and if you're trying to use it in the dark this defeats the purpose of getting an illuminated keyboard. There should be an ability to leave it on.2. The brightness on the led lights is not very good. In a completely dark room it may be passable but in a room with partial illumination like a lamp or even the light from your TV/Monitor screen, the keys get a little lost and not easy to see since they blend with the glare from the screen.3. The chroma colors make such a dimly lit product that much harder to see, and you can't adjust this. It would be better if you could make it just green, white or blue lights but the chroma color runs across the keyboard and the red color is very dim. To top it off, the leds are so far under the keys that you get more of a halo effect around the underside of the key than lighting up the key characters themselves.The only pros I have about this product are1. the price, cheap for what it is.2. the quiet no click of the keys (perfect if someone else is in the room trying to sleep)3. USB-C charger compatible.Aside from the things I mentioned at the top of this post. There are some extras that could have made this product better.1. Dedicated buttons for FF, REV, PLAY/PAUSE & VOL UP/DOWN, Mute. Having to constantly press a function button for basic features like those when you want to control music or volume is annoying.2. Removable rechargeable batteries you can replace and charge in the unit when the charger is plugged in. I had a mouse that did this and it was a great feature, and when the battery could no longer hold a charge, I just replaced it.3. The 2.4 ghz dongle is awesome, but also having a Bluetooth option can make this better and able to connect to devices that don't have USB ports, but keep the dongle.I'm not happy with mine, I will return it and spend a little more on a better solution for me."
10120,2,The keyboard is good. it does not have any noise. the light is cool. But sometimes the keyboard would repeat press one key.
10121,2,"Love this keyboard, don’t have anything bad to say about it. Congratulations to the work team they did a good job putting this together, love the colors, works perfectly. Worth your money."
10122,2,"It surely is not a mechanical keyboard but it has great lighting and a satisfying tactile response. For the price though, it can't be beat"
10123,22,great product! fast delivery.
10124,2,I like that you have the option to have the lights pulse in and out or keep it solid. The keyboard does go dark if you don't touch the keys (energy efficient I'd say). The best part is how quiet the keys are! Definitely worth the price.UPDATE: I lost the USB receiver for the keyboard and contacted KLIM directly. They sent me a new USB receiver for free! Amazing customer service from this company. 10/10 recommend.
10125,2,I have only had this keyboard for a few days now but from what I can tell so far it is not a bad little keyboard for the price!!!
10126,2,Plug and play windows 10. Had an issue with usb 3.1 took it off of that port and everything has been great since.
10127,2,I bought this keyboard for work because my keys were getting jammed. I have to say this keyboard feel great while typing. I like that it can be used as either wired or wireless. One of the best parts is the rechargeable battery.
10128,0,I got this for gaming on my Xbox One X.  I plugged in the USB adapter and that’s it!! It works great.  Great price for a great product and I would purchase again. Great battery life also
10129,2,"This keyboard is extremely comfortable to type on, and the backlight makes it possible to type with the lights off."
10130,2,"I needed a a new keyboard for my PS4 Pro, and this is the best one I've had so far. It's not as compact as the mini keyboards I've been using, but this one works very well so far."
10131,2,Great keyboard for everyday use LED's nice & brite! Only wish it would stay on longer or on all the time otherwise great keyboard
10132,2,Love the lights and it is quite. Love the charge time and how long it stays charged. Great keyboard all around. Easy to use and set up.
10133,2,"This keyboard is thoroughly average.  You press keys, and the computer reacts.  There are no glitches.  The backlight turns on, so you can see the keys in the dark as advertised--unless it goes to sleep.There is nothing to set this keyboard apart.  In fact, it is lacking in some ways.  For example, there is no way to determine how much batter power you have left, which is inexcusable for a wireless ""gaming"" input device.  There is nothing worse than discovering your keyboard is dead in the middle of a gaming session.  They did not even need to write software to display this information.  Windows 10 can display it if the device simply provides it.I am also not a fan of the key layout.  They got creative with the placement of the backslash key.  Instead of being in its normal position above the enter key, they pushed the quote key to the left and jammed backslash in between that and enter.  Enter has been stretched up to backspace.  The end result is that if you try to type backslash or pipe characters, say when entering paths or escape characters or coding, you wind up hitting the Enter key instead.  Possibly 5-6 times since you're typing without looking, on instinct.  I don't know how many times I have tried to type in a path an inadvertently submitted the wrong path to the OS by pressing enter instead of backslash.  Very frustrating.  The quote key being shifted to the left is also very annoying, but not quite as bad.  If you are a developer, this keyboard will slow you down for this reason alone--particularly if you then go to work and use keyboards with a standard layout.  Maybe others are different, but the absolute last thing I want in a keyboard is a less-than-standard key layout.  It renders useless years of accumulated intuition and experience."
10134,2,"The keys are very buggy in response.  Takes hitting the keys several times in some instances for them to work.  Keyboard goes into sleep mode seconds after you hit a key.  So it is constantly turning off forcing you to jam the keys to get them to work again.  It is pretty and the company sends you cute emails after you buy it, but just a garbage product overall.  I have had to buy a new keyboard just 2 days after purchasing this one as it id border line unusable"
10135,2,It looks good and I like the lighted keys. When I need to use my computer at night for a short time I no longer have to turn on the light.
10136,2,"I use this keyboard for my PS4, as I play mostly at night and needed a quieter way to play online with people. This does just the trick and is just more comfortable and quicker for me to type on than those tiny keyboard attachments for controllers. My only small complaint as others have mentioned is some colored keys are easier to see than others.  But overall it hasn't been a significant issue and serves its purpose."
10137,2,"Solid keyboard.  Lighting is a bit dim and the timeout is definitely too short as it goes dark too quickly.  Other than those issues, it works perfectly and the battery life has been more than adequate."
10138,2,The keys are very quiet and the LED's add a nice touch to the office.  However for typing occasionally I do look at the keyboard to ensure of my hand placement is correct or to look at the key pad to punch numbers.  The downside is that the keys are pretty dark themselves so tough to see at a glance.  Overall happy with my purchase.
10139,8,It was a present
10140,2,I think you guys did a very good job of building this keyboard. It really matches my computer tower I have at home. Keep up the good work.
10141,2,Could be brighter. Only 4 star due to inadequate user guide.
10142,15,I’d buy it again
10143,2,"2 year update!  Just wanted to chime in again and let everyone know i couldn't be happier with this keyboard and the company. you wont find a better bang for the buck on this website. highly recommendedvery comfortable keyboard, smooth keys with a good curve on the top. charges with usb type C a single charge lasts for around a week"
10144,0,Exactly what I needed in a wireless keyboard for using with PS4. Works great.
10145,2,"Works great! Adjustable lighting. Stays charged for a long time. No chord in the way. Smooth keys. Light weight. Only small complaints - when it is in sleep mode, whatever key you hit to wake it, actually works. Therefore you have possibly typed a wrong key when using a password to open something. Also, you can't pick one solid color. Again, nothing major. I would buy another one or recommend it."
10146,0,"I got this for my PS4 Pro. Works great!  Love the colors, too. MAKE TIME TO READ THE SECOND HALF OF THEIR EMAIL. IT’S HILARIOUS!  P.S: Please don’t ask me technical questions. I had my dad install it and my techie brother got it working along with a mouse."
10147,2,It's cool.  I wish it was a bit brighter and I wish the keyboard stayed lit when you aren't typing.
10148,3, Great. Easy to use.
10149,0,As far as gaming is concerned I'm not using it for that. I'm using it because I have diabetic retinopathy and it helps with seeing the keys.The brightness is perfect.The battery life I have not ran into a problem. I have used it when my computer is docked and several days have gone by without charging it again so to me that's great.
